location,day_of_week,vehicle_count,avg_speed,incident_notes,weather,ref_code
Hill Road,Monday,425,45.95,Agent every development say quality throughout beautiful instead.,Cloudy,I0Y6
Sector 21-A,Friday,832,21.11,Behavior discussion own night respond red information.,Clear,HSAH
Hill Road,Saturday,958,34.68,Operation speak according south recently future choice whatever from behavior benefit suggest page southern.,Foggy,V3A3
Hill Road,Thursday,748,29.73,Movie win her need stop peace technology officer relate animal direction eye bag do.,Cloudy,8MDD
West Junction,Friday,670,48.25,Herself law street class great prove reduce raise.,Foggy,T9NT
Hill Road,Friday,770,40.21,Participant commercial rock clear here writer policy news.,Clear,BIKC
City Center,Sunday,503,33.3,Successful simply director allow firm environment decision wall then fire pretty how.,Foggy,WNNH
West Junction,Saturday,1099,42.68,Central cause seat much section investment on gun young catch management sense technology check.,Cloudy,TIQJ
Hill Road,Saturday,970,27.69,Society instead as high you more wife team activity.,Rainy,41IB
West Junction,Thursday,674,22.32,Race Mr environment political born itself law west.,Rainy,HR5X
City Center,Wednesday,542,28.63,Will seven medical blood personal success medical current hear claim well.,Rainy,0PVN
City Center,Friday,905,23.18,Truth out major born guy world southern dream drive note bad rule staff within mouth.,Clear,4FFY
Tech Park,Monday,794,33.36,Campaign little near enter their institution deep much role.,Foggy,T84A
Hill Road,Monday,1098,50.97,Require human public health tonight later easy ask again network.,Rainy,1MKF
Sector 21-A,Saturday,1136,29.22,Detail audience piece director town teacher audience draw protect Democrat car very number line six space.,Cloudy,SDW4
Tech Park,Friday,603,25.35,Behind probably great in tell approach president position art rock.,Cloudy,T2TA
West Junction,Thursday,419,23.92,Eat couple large instead everything economic type kitchen.,Rainy,53LC
Tech Park,Monday,487,45.62,Better present music address behavior send door image loss ten total clearly able hospital unit.,Clear,9TEX
Tech Park,Tuesday,671,38.47,Expect recent room situation product main couple design around save article finish anyone live.,Foggy,871Y
Hill Road,Wednesday,808,54.83,Church whether bag control organization push dog build three east organization people information on mission.,Rainy,PSEI
